Player,Age,Squad,Comp,Pos,Role,Min,Gls,Ast,G+A,xG,xAG,PrgP,starter_ratio
Rodrigo Abajas,21.0,Valencia,es La Liga,DF,Finisher,65,0,0,0,0.1,0.0,2,1.0
James Abankwah,20.0,Udinese,it Serie A,"DF,MF",Finisher,88,0,0,0,0.1,0.0,4,0.0
Keyliane Abdallah,18.0,Marseille,fr Ligue 1,FW,Finisher,3,0,0,0,0.0,0.0,0,0.0
Nabil Aberdin,21.0,Getafe,es La Liga,MF,Finisher,263,0,0,0,0.0,0.0,6,0.5714285714285714
Matthis Abline,21.0,Nantes,fr Ligue 1,FW,Defender,2768,9,2,11,8.5,3.8,48,0.9705882352941176
Federico Accornero,20.0,Genoa,it Serie A,MF,Finisher,5,0,0,0,0.0,0.0,0,0.0
Joshua Acheampong,18.0,Chelsea,eng Premier League,DF,Finisher,170,0,0,0,0.2,0.0,8,0.5
Martin Adeline,20.0,Reims,fr Ligue 1,MF,Finisher,26,0,0,0,0.0,0.0,0,0.0
Vasilije Adžić,18.0,Juventus,it Serie A,"MF,FW",Finisher,42,0,0,0,0.0,0.0,1,0.0
Asher Agbinone,18.0,Crystal Palace,eng Premier League,MF,Finisher,6,0,0,0,0.0,0.0,0,0.0
Jeremy Agbonifo,18.0,Lens,fr Ligue 1,"FW,MF",Finisher,300,1,0,1,0.7,0.2,6,0.125
Lorenzo Aguado,21.0,Real Madrid,es La Liga,DF,Finisher,5,0,0,0,0.0,0.0,0,0.0
Honest Ahanor,16.0,Genoa,it Serie A,"DF,MF",Finisher,270,0,0,0,0.5,0.1,3,0.5
Ayman Aiki,19.0,Saint-Étienne,fr Ligue 1,"FW,MF",Finisher,127,0,0,0,0.1,0.0,5,0.2
Junior Ajayi,19.0,Hellas Verona,it Serie A,FW,Finisher,13,0,0,0,0.0,0.0,1,0.0
Ümit Akdag,20.0,Toulouse,fr Ligue 1,DF,Finisher,500,0,0,0,0.1,0.1,29,0.6666666666666666
Ilias Akhomach,20.0,Villarreal,es La Liga,"MF,FW",Finisher,584,1,0,1,0.6,1.0,12,0.6363636363636364
Ibrahim Alani,18.0,Valladolid,es La Liga,MF,Finisher,160,0,0,0,0.0,0.0,5,0.3333333333333333
Carlos Alcaraz,21.0,Southampton,eng Premier League,MF,Finisher,10,0,0,0,0.1,0.1,6,0.0
Carlos Alcaraz,21.0,Everton,eng Premier League,"FW,MF",Playmaker,764,2,3,5,1.7,1.6,42,0.4666666666666667
Mohamed Ali Cho,20.0,Nice,fr Ligue 1,"FW,MF",Playmaker,1621,3,4,7,4.0,4.0,59,0.7777777777777778
Iker Almena,20.0,Girona,es La Liga,"FW,DF",Finisher,48,0,1,1,0.0,0.7,2,0.0
Hugo Álvarez,21.0,Celta Vigo,es La Liga,"MF,DF",Playmaker,1572,4,3,7,2.5,1.1,60,0.6153846153846154
Will Alves,19.0,Leicester City,eng Premier League,FW,Finisher,1,0,0,0,0.0,0.0,0,0.0
Harry Amass,17.0,Manchester Utd,eng Premier League,DF,Finisher,346,0,0,0,0.1,0.0,7,0.8
Aurele Amenda,21.0,Eint Frankfurt,de Bundesliga,DF,Finisher,96,0,0,0,0.0,0.3,2,0.125
Samuel Amo-Ameyaw,18.0,Southampton,eng Premier League,"FW,DF",Finisher,28,0,0,0,0.0,0.1,0,0.0
Samuel Amo-Ameyaw,18.0,Strasbourg,fr Ligue 1,"DF,MF",Finisher,320,2,0,2,0.7,0.6,12,0.3333333333333333
Mathis Amougou,18.0,Chelsea,eng Premier League,MF,Finisher,8,0,0,0,0.0,0.0,1,0.0
Mathis Amougou,18.0,Saint-Étienne,fr Ligue 1,MF,Finisher,859,0,0,0,0.5,0.4,36,0.5294117647058824
Elliot Anderson,21.0,Nott'ham Forest,eng Premier League,MF,Playmaker,2728,2,6,8,2.1,3.3,143,0.8918918918918919
Lorenzo Anghelè,19.0,Juventus,it Serie A,FW,Finisher,6,0,0,0,0.0,0.0,1,0.0
Leandro Antonetti,21.0,Sevilla,es La Liga,FW,Finisher,28,0,0,0,0.1,0.0,0,0.0
Kyllian Antonio,16.0,Lens,fr Ligue 1,"DF,MF",Finisher,139,0,0,0,0.1,0.0,0,0.6666666666666666
Antoniu,21.0,Espanyol,es La Liga,"FW,MF",Finisher,1022,0,1,1,0.9,1.1,28,0.5
Harrison Armstrong,17.0,Everton,eng Premier League,MF,Finisher,48,0,0,0,0.4,0.1,1,0.0
Hákon Arnar Haraldsson,21.0,Lille,fr Ligue 1,"MF,FW",Playmaker,1755,5,3,8,3.8,2.8,102,0.84
Sergio Arribas,21.0,Betis,es La Liga,DF,Finisher,90,0,0,0,0.0,0.0,1,1.0
Arthur,21.0,Leverkusen,de Bundesliga,DF,Finisher,752,0,1,1,0.1,0.4,25,0.35
Raúl Asencio,21.0,Real Madrid,es La Liga,DF,Playmaker,1670,0,1,1,0.1,0.6,27,0.782608695652174
Yaser Asprilla,20.0,Girona,es La Liga,"FW,MF",Playmaker,1405,3,1,4,2.1,2.8,77,0.5555555555555556
Dehmaine Assoumani,19.0,Nantes,fr Ligue 1,"MF,FW",Finisher,98,0,0,0,0.1,0.9,1,0.0
Valentin Atangana Edoa,18.0,Reims,fr Ligue 1,MF,Playmaker,2854,1,0,1,2.5,1.1,93,0.9705882352941176
Arthur Atta,21.0,Udinese,it Serie A,"MF,FW",Playmaker,1251,0,1,1,1.3,1.4,57,0.4444444444444444
Yasin Ayari,20.0,Brighton,eng Premier League,MF,Playmaker,1965,2,1,3,2.4,2.3,75,0.6470588235294118
Adam Aznou,18.0,Valladolid,es La Liga,DF,Finisher,876,0,0,0,0.3,0.3,25,0.7692307692307693
Adam Aznou,18.0,Bayern Munich,de Bundesliga,DF,Finisher,17,0,0,0,0.0,0.0,1,0.0
Papa Ba,19.0,Girona,es La Liga,MF,Finisher,48,0,0,0,0.0,0.0,0,0.0
Jacopo Bacci,19.0,Empoli,it Serie A,MF,Finisher,31,0,0,0,0.0,0.0,1,0.0
Aliou Badara Baldé,21.0,Bochum,de Bundesliga,"MF,FW",Finisher,91,0,0,0,0.2,0.2,1,0.0
Juma Bah,18.0,Valladolid,es La Liga,DF,Finisher,864,0,0,0,0.3,0.0,13,0.8333333333333334
Juma Bah,18.0,Lens,fr Ligue 1,DF,Finisher,686,0,0,0,0.1,0.2,9,0.8
Stefan Bajcetic,19.0,Las Palmas,es La Liga,"MF,DF",Finisher,969,1,0,1,0.3,0.2,39,0.8571428571428571
Darryl Bakola,16.0,Marseille,fr Ligue 1,"DF,MF",Finisher,14,0,0,0,0.0,0.0,0,0.0
Dilane Bakwa,21.0,Strasbourg,fr Ligue 1,"MF,DF",Defender,2497,6,8,14,4.7,6.6,129,0.9666666666666667
Tommaso Baldanzi,21.0,Roma,it Serie A,"MF,FW",Finisher,832,1,1,2,1.4,1.0,23,0.16129032258064516
Alejandro Balde,20.0,Barcelona,es La Liga,DF,Playmaker,2284,0,4,4,0.5,3.4,93,0.8125
Carlos Baleba,20.0,Brighton,eng Premier League,MF,Playmaker,2661,3,1,4,3.1,1.3,118,0.9117647058823529
Mohamed Bamba,19.0,Reims,fr Ligue 1,MF,Finisher,10,0,0,0,0.0,0.0,3,0.0
Samuel Bamba,20.0,Bochum,de Bundesliga,"FW,MF",Finisher,27,0,0,0,0.1,0.0,5,0.0
Noahkai Banks,17.0,Augsburg,de Bundesliga,DF,Finisher,278,0,0,0,0.1,0.0,8,0.25
Adrian Baquerin,17.0,Valladolid,es La Liga,FW,Finisher,49,0,0,0,0.4,0.0,1,0.0
Valentín Barco,20.0,Sevilla,es La Liga,"DF,FW",Finisher,288,0,0,0,0.3,0.6,13,0.42857142857142855
Valentín Barco,20.0,Strasbourg,fr Ligue 1,"MF,DF",Playmaker,1157,0,2,2,0.5,1.5,64,1.0
Bradley Barcola,21.0,Paris S-G,fr Ligue 1,FW,Defender,2181,14,10,24,13.4,10.1,96,0.7941176470588235
Téo Barisic,19.0,Lyon,fr Ligue 1,DF,Finisher,2,0,0,0,0.0,0.0,0,0.0
Pablo Barrios,21.0,Atlético Madrid,es La Liga,MF,Playmaker,2330,1,4,5,1.3,2.4,142,0.9032258064516129
Thierno Barry,21.0,Villarreal,es La Liga,FW,Defender,2323,11,4,15,12.5,2.9,27,0.7142857142857143
Davide Bartesaghi,18.0,Milan,it Serie A,DF,Finisher,118,0,0,0,0.0,0.1,2,0.25
Aboubacar Bassinga,19.0,Las Palmas,es La Liga,MF,Finisher,4,0,0,0,0.0,0.0,0,0.0
Rafael Bauza,19.0,Espanyol,es La Liga,MF,Finisher,183,0,0,0,0.1,0.0,7,0.4
Maximilian Beier,21.0,Dortmund,de Bundesliga,"FW,MF",Defender,1591,8,5,13,7.7,3.3,33,0.5862068965517241
Luken Beitia,20.0,Real Sociedad,es La Liga,DF,Finisher,8,0,0,0,0.0,0.0,0,0.0
Ismael Bekhoucha,19.0,Getafe,es La Liga,"MF,DF",Finisher,69,0,0,0,0.0,0.0,1,0.0
Reda Belahyane,20.0,Hellas Verona,it Serie A,MF,Playmaker,1658,0,2,2,0.2,1.0,73,0.7727272727272727
Reda Belahyane,20.0,Lazio,it Serie A,MF,Finisher,198,0,0,0,0.0,0.0,10,0.16666666666666666
Jude Bellingham,21.0,Real Madrid,es La Liga,MF,Defender,2488,9,8,17,11.4,3.9,199,0.9354838709677419
Jeanuël Belocian,19.0,Leverkusen,de Bundesliga,"DF,MF",Finisher,68,0,0,0,0.0,0.0,3,0.2
Eliesse Ben Seghir,19.0,Monaco,fr Ligue 1,"MF,FW",Defender,1750,6,3,9,5.5,5.2,122,0.5757575757575758
Iker Benito,21.0,Osasuna,es La Liga,"FW,MF",Finisher,37,0,0,0,0.0,0.0,0,0.0
Lucas Beraldo,20.0,Paris S-G,fr Ligue 1,DF,Playmaker,2011,1,0,1,0.9,0.4,131,0.88
Lucas Bergvall,18.0,Tottenham,eng Premier League,MF,Playmaker,1212,0,1,1,0.7,0.6,49,0.4074074074074074
Medon Berisha,20.0,Lecce,it Serie A,MF,Playmaker,716,0,1,1,0.7,0.6,42,0.4117647058823529
Marc Bernal,17.0,Barcelona,es La Liga,MF,Finisher,242,0,0,0,0.1,0.0,8,1.0
Victor Bernth Kristiansen,21.0,Leicester City,eng Premier League,DF,Playmaker,2482,0,1,1,0.3,1.4,70,0.9666666666666667
Alessandro Bianco,21.0,Monza,it Serie A,MF,Playmaker,2600,1,0,1,1.3,1.2,125,0.8529411764705882
Alessandro Bianco,21.0,Fiorentina,it Serie A,MF,Finisher,18,0,0,0,0.0,0.0,0,0.0
Mika Biereth,21.0,Monaco,fr Ligue 1,FW,Defender,1228,13,2,15,11.3,4.5,24,1.0
Tom Bischof,19.0,Hoffenheim,de Bundesliga,"MF,FW",Playmaker,2559,5,2,7,2.2,3.6,138,0.967741935483871
Emmanuel Biumla,19.0,Angers,fr Ligue 1,DF,Finisher,1336,1,0,1,0.7,0.0,16,0.8823529411764706
Oscar Bobb,21.0,Manchester City,eng Premier League,FW,Finisher,16,0,0,0,0.0,0.1,1,0.0
Mathéo Bodmer,20.0,Le Havre,fr Ligue 1,MF,Finisher,6,0,0,0,0.0,0.0,0,0.0
Lamare Bogarde,20.0,Aston Villa,eng Premier League,"DF,MF",Finisher,476,0,0,0,0.0,0.1,14,0.625
Warren Bondo,20.0,Monza,it Serie A,MF,Playmaker,1618,0,0,0,0.4,0.3,39,0.95
Warren Bondo,20.0,Milan,it Serie A,MF,Finisher,162,0,0,0,0.0,0.1,7,0.75
Ange-Yoan Bonny,20.0,Parma,it Serie A,FW,Defender,2529,6,4,10,9.4,2.9,53,0.8108108108108109
Saïmon Bouabré,18.0,Monaco,fr Ligue 1,"MF,FW",Finisher,97,0,0,0,0.0,0.0,2,0.3333333333333333
Ayyoub Bouaddi,16.0,Lille,fr Ligue 1,MF,Finisher,1151,0,1,1,0.1,1.0,37,0.4583333333333333
Badredine Bouanani,19.0,Nice,fr Ligue 1,"MF,FW",Playmaker,1099,3,3,6,2.7,2.4,44,0.4230769230769231
Justin Bourgault,18.0,Brest,fr Ligue 1,DF,Finisher,122,1,0,1,0.1,0.1,4,1.0
Conor Bradley,21.0,Liverpool,eng Premier League,DF,Playmaker,754,0,2,2,0.7,1.4,33,0.3684210526315789
Iker Bravo,19.0,Udinese,it Serie A,"FW,MF",Finisher,682,2,1,3,0.9,0.4,18,0.13793103448275862
Nathaniel Brown,21.0,Eint Frankfurt,de Bundesliga,"DF,MF",Playmaker,1947,3,6,9,2.2,5.1,63,0.8461538461538461
Manu Bueno,20.0,Sevilla,es La Liga,"MF,FW",Finisher,140,1,0,1,0.1,0.0,5,0.1111111111111111
Endika Buján,21.0,Athletic Club,es La Liga,FW,Finisher,7,0,0,0,0.0,0.0,0,0.0
Facundo Buonanotte,19.0,Leicester City,eng Premier League,"FW,MF",Playmaker,1523,5,2,7,3.9,3.1,54,0.45161290322580644
Rareș-Cătălin Burnete,20.0,Lecce,it Serie A,FW,Finisher,28,0,0,0,0.1,0.0,0,0.0
Nathan Butler-Oyedeji,21.0,Arsenal,eng Premier League,FW,Finisher,7,0,0,0,0.1,0.0,0,0.0
Pau Cabanes,19.0,Villarreal,es La Liga,"MF,FW",Finisher,163,1,0,1,0.5,0.4,11,0.0
Pau Cabanes,19.0,Alavés,es La Liga,"MF,FW",Finisher,188,0,0,0,0.0,0.0,5,0.3333333333333333
Alessio Cacciamani,17.0,Torino,it Serie A,"MF,DF",Finisher,31,0,0,0,0.0,0.0,1,0.0
Issiaga Camara,19.0,Nice,fr Ligue 1,MF,Finisher,20,0,0,0,0.0,0.0,2,0.0
Lamine Camara,20.0,Monaco,fr Ligue 1,MF,Playmaker,2054,2,7,9,2.3,4.4,141,0.8620689655172413
Ousmane Camara,21.0,Angers,fr Ligue 1,DF,Finisher,252,0,0,0,0.1,0.0,3,1.0
Francesco Camarda,16.0,Milan,it Serie A,"FW,MF",Finisher,206,0,0,0,0.6,0.5,1,0.1
Eduardo Camavinga,21.0,Real Madrid,es La Liga,"MF,DF",Playmaker,1102,1,2,3,0.4,0.8,61,0.5789473684210527
Axel Camblan,20.0,Brest,fr Ligue 1,"MF,FW",Finisher,26,0,0,0,0.0,0.0,2,0.0
Thomas Campaniello,16.0,Empoli,it Serie A,FW,Finisher,25,0,0,0,0.5,0.0,0,0.0
Cole Campbell,18.0,Dortmund,de Bundesliga,"MF,FW",Finisher,22,0,0,0,0.0,0.0,0,0.0
Peio Canales,19.0,Athletic Club,es La Liga,"MF,FW",Finisher,259,0,0,0,0.2,0.2,6,0.25
Jaydee Canvot,18.0,Toulouse,fr Ligue 1,"DF,MF",Finisher,1106,0,0,0,0.2,0.7,41,0.6666666666666666
Gabin Capuano,18.0,Lens,fr Ligue 1,FW,Finisher,11,0,0,0,0.0,0.0,0,0.0
Simon Cara,19.0,Montpellier,fr Ligue 1,"MF,FW",Finisher,9,0,0,0,0.0,0.0,0,0.0
Franco Carboni,21.0,Venezia,it Serie A,DF,Finisher,226,0,0,0,0.0,0.1,6,0.375
Valentin Carboni,19.0,Marseille,fr Ligue 1,"MF,FW",Finisher,103,0,0,0,0.0,0.1,4,0.25
Tiago Cardoso,18.0,Gladbach,de Bundesliga,GK,Finisher,380,0,0,0,0.0,0.0,0,0.8
José Carlos González,18.0,Las Palmas,es La Liga,DF,Finisher,11,0,0,0,0.0,0.0,0,0.0
Fabio Carvalho,21.0,Brentford,eng Premier League,"FW,MF",Finisher,455,2,1,3,2.5,0.7,17,0.15789473684210525
Cesare Casadei,21.0,Torino,it Serie A,MF,Finisher,1017,1,1,2,1.2,0.4,36,0.8666666666666667
Marc Casado,20.0,Barcelona,es La Liga,MF,Playmaker,1611,1,3,4,1.1,1.4,107,0.8695652173913043
Kaelan Casey,19.0,West Ham,eng Premier League,DF,Finisher,1,0,0,0,0.0,0.0,0,0.0
Federico Cassa,18.0,Atalanta,it Serie A,"MF,FW",Finisher,14,0,0,0,0.0,0.0,1,0.0
Santiago Castro,19.0,Bologna,it Serie A,FW,Defender,2294,8,4,12,7.7,2.9,39,0.75
Enzo Caumont,20.0,Angers,fr Ligue 1,MF,Finisher,34,0,0,0,0.0,0.0,1,0.0
Abdoulie Ceesay,20.0,St. Pauli,de Bundesliga,FW,Finisher,60,0,0,0,0.0,0.0,0,0.0
El Chadaille Bitshiabu,19.0,RB Leipzig,de Bundesliga,DF,Finisher,1130,0,0,0,0.3,0.4,69,0.6190476190476191
Fares Chaïbi,21.0,Eint Frankfurt,de Bundesliga,"MF,FW",Playmaker,1013,1,3,4,2.6,2.9,52,0.38461538461538464
Raúl Chasco,20.0,Valladolid,es La Liga,DF,Finisher,130,0,0,0,0.0,0.0,3,0.5
Anrie Chase,20.0,Stuttgart,de Bundesliga,DF,Finisher,734,0,0,0,0.1,0.0,28,0.5833333333333334
Chema,19.0,Real Madrid,es La Liga,MF,Finisher,12,0,0,0,0.0,0.0,0,0.0
Théo Chennahi,19.0,Montpellier,fr Ligue 1,DF,Finisher,181,0,0,0,0.2,0.0,0,0.5
Sidiki Cherif,17.0,Angers,fr Ligue 1,FW,Finisher,324,0,0,0,0.7,0.2,3,0.42857142857142855
Rayan Cherki,20.0,Lyon,fr Ligue 1,"FW,MF",Defender,2041,8,11,19,5.0,11.1,206,0.7333333333333333
Youssef Chermiti,20.0,Everton,eng Premier League,"FW,MF",Finisher,45,0,0,0,0.1,0.0,1,0.0
Fabio Chiarodia,19.0,Gladbach,de Bundesliga,DF,Finisher,379,1,0,1,0.3,0.4,10,0.1875
Carney Chukwuemeka,20.0,Dortmund,de Bundesliga,MF,Finisher,253,1,0,1,0.6,0.9,18,0.1
Aaron Ciammaglichella,19.0,Torino,it Serie A,MF,Finisher,1,0,0,0,0.0,0.0,0,0.0
Alessandro Circati,20.0,Parma,it Serie A,DF,Finisher,540,0,0,0,0.3,0.0,10,1.0
Alphadjo Cissè,17.0,Hellas Verona,it Serie A,"FW,MF",Finisher,9,0,0,0,0.0,0.0,1,0.0
Djaoui Cissé,20.0,Rennes,fr Ligue 1,MF,Playmaker,1121,1,0,1,0.4,0.2,84,1.0
Yoann Cissé,19.0,Auxerre,fr Ligue 1,MF,Finisher,5,0,0,0,0.0,0.0,0,0.0
Silvi Clúa,19.0,Girona,es La Liga,MF,Finisher,163,0,0,0,0.0,0.0,3,0.5
Nnamdi Collins,20.0,Eint Frankfurt,de Bundesliga,DF,Playmaker,1489,1,1,2,0.8,1.0,63,0.625
Toby Collyer,20.0,Manchester Utd,eng Premier League,MF,Finisher,179,0,0,0,0.2,0.3,5,0.0
Levi Colwill,21.0,Chelsea,eng Premier League,DF,Playmaker,3149,2,1,3,1.9,1.1,131,1.0
Pietro Comuzzo,19.0,Fiorentina,it Serie A,DF,Playmaker,2200,1,0,1,0.5,0.6,75,0.7272727272727273
Francisco Conceição,21.0,Juventus,it Serie A,"FW,MF",Playmaker,1340,3,3,6,2.3,4.3,35,0.46153846153846156
Diego Coppola,20.0,Hellas Verona,it Serie A,DF,Playmaker,2927,2,0,2,0.7,0.1,48,0.9705882352941176
Iker Córdoba,18.0,Valencia,es La Liga,DF,Finisher,15,0,0,0,0.0,0.1,1,0.0
Alberto costa,20.0,Juventus,it Serie A,DF,Finisher,357,0,1,1,0.6,0.2,8,0.3333333333333333
Lasso Coulibaly,21.0,Auxerre,fr Ligue 1,"FW,MF",Finisher,45,1,0,1,0.3,0.1,0,0.0
Mamadou Coulibaly,20.0,Monaco,fr Ligue 1,MF,Finisher,8,0,0,0,0.1,0.0,0,0.0
Soumaïla Coulibaly,20.0,Brest,fr Ligue 1,DF,Finisher,438,0,0,0,0.2,0.1,16,0.7142857142857143
Marius Courcoul,17.0,Angers,fr Ligue 1,"MF,DF",Finisher,309,0,0,0,0.1,0.0,7,0.375
Charlie Cresswell,21.0,Toulouse,fr Ligue 1,DF,Playmaker,2592,3,1,4,3.3,1.7,69,0.9354838709677419
Pau Cubarsí,17.0,Barcelona,es La Liga,DF,Playmaker,2618,0,3,3,0.8,1.6,191,0.8285714285714286
Maat Daniel Caprini,18.0,Fiorentina,it Serie A,FW,Finisher,8,0,0,0,0.0,0.0,1,0.0
Jayden Danns,18.0,Liverpool,eng Premier League,MF,Finisher,11,0,0,0,0.0,0.0,0,0.0
Kévin Danois,20.0,Auxerre,fr Ligue 1,MF,Playmaker,1460,0,0,0,1.5,2.2,95,0.7272727272727273
Bence Dárdai,18.0,Wolfsburg,de Bundesliga,MF,Finisher,1304,1,1,2,1.0,1.0,39,0.7619047619047619
Amar Dedić,21.0,Marseille,fr Ligue 1,DF,Finisher,314,0,1,1,0.9,0.9,16,0.2
Liam Delap,21.0,Ipswich Town,eng Premier League,FW,Defender,2593,12,2,14,9.3,1.9,30,0.8648648648648649
