Player,Age,Squad,Comp,Pos,Role,Min,Gls,Ast,G+A,xG,xAG,PrgP,starter_ratio
Ali Dembélé,20.0,Torino,it Serie A,DF,Finisher,388,1,0,1,0.4,0.1,12,0.26666666666666666
Justin Devenny,20.0,Crystal Palace,eng Premier League,MF,Finisher,507,1,1,2,0.8,0.6,21,0.17391304347826086
Mamadou Diakhon,18.0,Reims,fr Ligue 1,"FW,MF",Finisher,858,2,1,3,1.0,1.1,17,0.17857142857142858
Oumar Diakité,20.0,Reims,fr Ligue 1,FW,Playmaker,1628,4,1,5,5.5,1.1,44,0.7692307692307693
Assane Diao,18.0,Como,it Serie A,"FW,MF",Defender,1252,8,1,9,4.0,0.4,36,0.9333333333333333
Assane Diao,18.0,Betis,es La Liga,FW,Finisher,277,1,2,3,0.8,1.5,1,0.2
Habib Diarra,20.0,Strasbourg,fr Ligue 1,"MF,FW",Playmaker,2352,4,5,9,3.3,4.5,116,0.9
Mahamadou Diawara,19.0,Le Havre,fr Ligue 1,MF,Finisher,582,0,1,1,0.4,0.4,16,0.4
Mahamadou Diawara,19.0,Lyon,fr Ligue 1,MF,Finisher,16,0,0,0,0.0,0.0,1,0.0
Daniel Díaz,18.0,Real Sociedad,es La Liga,MF,Finisher,10,0,0,0,0.0,0.0,0,0.0
Tyler Dibling,18.0,Southampton,eng Premier League,"FW,MF",Playmaker,1874,2,0,2,2.5,1.5,64,0.6060606060606061
Justin Diehl,19.0,Stuttgart,de Bundesliga,"FW,DF",Finisher,104,1,0,1,1.0,0.1,5,0.0
Kembo Diliwidi,18.0,Lens,fr Ligue 1,DF,Finisher,4,0,0,0,0.0,0.0,1,0.0
Yan Diomandé,17.0,Leganés,es La Liga,"MF,FW",Finisher,545,2,1,3,1.4,0.9,16,0.6
Sérigné Diop,19.0,Brest,fr Ligue 1,FW,Finisher,4,0,0,0,0.0,0.0,0,0.0
Andy Diouf,21.0,Lens,fr Ligue 1,MF,Playmaker,2225,1,2,3,2.9,2.8,116,0.7941176470588235
Roman Dixon,19.0,Everton,eng Premier League,DF,Finisher,90,0,0,0,0.0,0.0,0,1.0
Nasser Djiga,21.0,Wolves,eng Premier League,DF,Finisher,66,0,0,0,0.0,0.0,3,0.2
Marc Domenech,18.0,Mallorca,es La Liga,"FW,MF",Finisher,303,0,0,0,0.7,0.2,4,0.3
Benjamín Domínguez,20.0,Bologna,it Serie A,FW,Playmaker,1281,3,2,5,2.2,0.8,32,0.6666666666666666
Israel Domínguez,21.0,Sevilla,es La Liga,FW,Finisher,18,0,0,0,0.0,0.0,0,0.0
Sergi Dominguez,19.0,Barcelona,es La Liga,DF,Finisher,172,0,0,0,0.0,0.0,13,0.6666666666666666
Patrick Dorgu,19.0,Manchester Utd,eng Premier League,DF,Finisher,842,0,0,0,0.4,0.7,34,0.8333333333333334
Patrick Dorgu,19.0,Lecce,it Serie A,"DF,FW",Playmaker,1840,3,1,4,3.3,1.5,54,1.0
Alfie Dorrington,19.0,Tottenham,eng Premier League,DF,Finisher,14,0,0,0,0.0,0.0,0,0.0
Sékou Doucoure,19.0,Nantes,fr Ligue 1,DF,Finisher,12,0,0,0,0.0,0.0,0,0.0
Désiré Doué,19.0,Paris S-G,fr Ligue 1,"FW,MF",Defender,1730,6,6,12,5.1,7.8,139,0.5806451612903226
Guela Doué,21.0,Strasbourg,fr Ligue 1,DF,Playmaker,2717,1,2,3,0.8,0.7,173,0.9375
Ismaël Doukouré,21.0,Strasbourg,fr Ligue 1,"DF,MF",Playmaker,2639,1,1,2,0.6,1.1,116,1.0
Issa Doumbia,20.0,Venezia,it Serie A,MF,Finisher,939,0,0,0,1.0,0.1,22,0.4166666666666667
Kamory Doumbia,21.0,Brest,fr Ligue 1,"MF,FW",Playmaker,1322,3,2,5,2.7,1.2,72,0.43333333333333335
Amidou Doumbouya,16.0,Nice,fr Ligue 1,DF,Finisher,46,0,0,0,0.0,0.0,1,0.0
Tim Drexler,19.0,Hoffenheim,de Bundesliga,DF,Finisher,357,0,0,0,0.1,0.0,16,0.625
Jáder Durán,20.0,Aston Villa,eng Premier League,FW,Playmaker,638,7,0,7,4.9,0.2,13,0.2
Julien Duranville,18.0,Dortmund,de Bundesliga,"FW,MF",Finisher,283,0,0,0,0.2,0.3,7,0.16666666666666666
Stefan Džodić,19.0,Montpellier,fr Ligue 1,"DF,MF",Finisher,242,0,0,0,0.1,0.0,10,0.2857142857142857
Claudio Echeverri,18.0,Manchester City,eng Premier League,FW,Finisher,6,0,0,0,0.0,0.0,1,0.0
Noah Edjouma,18.0,Toulouse,fr Ligue 1,"MF,FW",Finisher,171,2,0,2,1.3,0.1,7,0.1
Samuel Edozie,21.0,Southampton,eng Premier League,"DF,FW",Finisher,65,0,0,0,0.0,0.1,4,0.0
Ronnie Edwards,21.0,Southampton,eng Premier League,DF,Finisher,12,0,0,0,0.0,0.0,0,0.0
Jeff Ekhator,17.0,Genoa,it Serie A,"FW,MF",Finisher,769,1,1,2,1.3,1.0,14,0.25
Jacques Ekomie,20.0,Angers,fr Ligue 1,"DF,FW",Finisher,697,0,0,0,0.0,0.0,20,0.3888888888888889
Harvey Elliott,21.0,Liverpool,eng Premier League,MF,Finisher,371,1,2,3,1.8,1.1,44,0.1111111111111111
Emanuel Emegha,21.0,Strasbourg,fr Ligue 1,FW,Defender,2293,14,3,17,17.0,2.4,14,1.0
Yunus Emre Konak,18.0,Brentford,eng Premier League,"FW,MF",Finisher,42,0,0,0,0.2,0.0,2,0.0
Julio Enciso,20.0,Ipswich Town,eng Premier League,"MF,FW",Playmaker,869,2,3,5,1.7,1.4,28,0.9230769230769231
Julio Enciso,20.0,Brighton,eng Premier League,"MF,FW",Finisher,294,0,0,0,1.0,0.2,14,0.16666666666666666
Endrick,18.0,Real Madrid,es La Liga,FW,Finisher,363,1,0,1,2.5,0.5,8,0.13636363636363635
Arne Engels,20.0,Augsburg,de Bundesliga,"MF,FW",Finisher,79,0,0,0,0.4,0.0,1,1.0
Romain Esse,19.0,Crystal Palace,eng Premier League,MF,Finisher,138,1,1,2,0.3,0.4,7,0.14285714285714285
Dario Essugo,19.0,Las Palmas,es La Liga,MF,Playmaker,1938,1,0,1,0.7,0.4,76,0.9259259259259259
Estanis,20.0,Bologna,it Serie A,FW,Finisher,9,0,0,0,0.1,0.2,0,0.0
Etienne Eto'o,21.0,Rayo Vallecano,es La Liga,FW,Finisher,40,0,0,0,0.0,0.0,0,0.0
Karl Etta,20.0,Villarreal,es La Liga,"MF,FW",Finisher,37,1,0,1,0.4,0.0,0,0.0
Giovanni Fabbian,21.0,Bologna,it Serie A,MF,Playmaker,1023,3,1,4,2.3,1.3,17,0.3
Abdul Fatawu Issahaku,20.0,Leicester City,eng Premier League,FW,Finisher,579,0,2,2,0.4,1.6,17,0.5454545454545454
Ansu Fati,21.0,Barcelona,es La Liga,FW,Finisher,233,0,0,0,1.0,0.2,6,0.5
Khalil Fayad,20.0,Montpellier,fr Ligue 1,"MF,FW",Playmaker,1028,0,0,0,1.3,0.3,50,0.5
Jacopo Fazzini,21.0,Empoli,it Serie A,MF,Playmaker,1383,4,1,5,3.1,0.5,49,0.8
Frank Feller,20.0,Heidenheim,de Bundesliga,GK,Finisher,121,0,0,0,0.0,0.0,0,0.5
Evan Ferguson,19.0,West Ham,eng Premier League,FW,Finisher,156,0,0,0,0.6,0.3,1,0.125
Evan Ferguson,19.0,Brighton,eng Premier League,FW,Finisher,246,1,0,1,0.5,0.4,1,0.15384615384615385
Mateus Fernandes,20.0,Southampton,eng Premier League,MF,Playmaker,2909,2,4,6,4.0,3.0,145,0.9444444444444444
Pelayo Fernandez,21.0,Rayo Vallecano,es La Liga,DF,Finisher,98,0,0,0,0.0,0.0,1,0.5
Matias Fernandez-Pardo,19.0,Lille,fr Ligue 1,"FW,MF",Playmaker,1065,4,2,6,2.9,2.8,26,0.5454545454545454
Daniel Fila,21.0,Venezia,it Serie A,FW,Finisher,492,2,0,2,1.4,0.3,8,0.6
Mateo Flores,20.0,Betis,es La Liga,MF,Finisher,153,0,0,0,0.0,0.0,9,0.16666666666666666
Malick Fofana,19.0,Lyon,fr Ligue 1,FW,Defender,1589,5,4,9,3.8,3.7,45,0.5517241379310345
Rayan Fofana,18.0,Lens,fr Ligue 1,"FW,MF",Finisher,25,0,0,0,0.0,0.0,0,0.0
Carlos Forbs,20.0,Wolves,eng Premier League,"MF,FW",Finisher,239,0,0,0,0.1,0.0,8,0.1
Omari Forson,20.0,Monza,it Serie A,"MF,FW",Finisher,223,0,0,0,0.2,0.5,10,0.1111111111111111
Héctor Fort,17.0,Barcelona,es La Liga,DF,Finisher,585,0,0,0,0.2,0.9,26,0.29411764705882354
Fran,19.0,Real Madrid,es La Liga,GK,Finisher,90,0,0,0,0.0,0.0,0,1.0
Matheus França,20.0,Crystal Palace,eng Premier League,"MF,FW",Finisher,55,1,0,1,0.3,0.0,3,0.0
Alejandro Francés,21.0,Girona,es La Liga,DF,Finisher,1173,0,0,0,0.2,0.3,63,0.7222222222222222
Tyler Fredricson,19.0,Manchester Utd,eng Premier League,DF,Finisher,165,0,0,0,0.0,0.0,8,1.0
Darío Fuentes,21.0,Sevilla,es La Liga,DF,Finisher,5,0,0,0,0.0,0.0,0,0.0
Shiō Fukuda,20.0,Gladbach,de Bundesliga,FW,Finisher,60,1,0,1,0.4,0.0,1,0.0
Tommaso Gabellini,17.0,Torino,it Serie A,FW,Finisher,10,0,0,0,0.1,0.0,0,0.0
Tiago Gabriel,19.0,Lecce,it Serie A,DF,Finisher,96,0,0,0,0.0,0.0,1,0.0
Andrés García,21.0,Aston Villa,eng Premier League,"DF,MF",Finisher,318,0,0,0,0.0,0.2,15,0.7142857142857143
Gonzalo García,20.0,Real Madrid,es La Liga,"FW,DF",Finisher,56,0,1,1,0.5,1.0,0,0.0
Pablo Garcia,17.0,Betis,es La Liga,FW,Finisher,38,0,0,0,0.0,0.0,0,0.0
Alejandro Garnacho,20.0,Manchester Utd,eng Premier League,"MF,FW",Defender,2199,6,2,8,7.3,4.5,56,0.6388888888888888
Yarek Gasiorowski,19.0,Valencia,es La Liga,DF,Finisher,947,0,0,0,1.1,0.1,38,0.6
Gavi,19.0,Barcelona,es La Liga,"MF,FW",Playmaker,1085,1,1,2,0.9,1.6,77,0.5384615384615384
Viggo Gebel,16.0,RB Leipzig,de Bundesliga,MF,Finisher,14,0,0,0,0.0,0.0,0,0.0
Tyrique George,18.0,Chelsea,eng Premier League,FW,Finisher,183,1,1,2,0.2,0.7,3,0.125
Daniele Ghilardi,21.0,Hellas Verona,it Serie A,DF,Playmaker,2029,0,0,0,0.6,0.2,57,0.875
Gvidas Gineitis,20.0,Torino,it Serie A,MF,Playmaker,1430,3,1,4,1.3,2.0,36,0.5
Jamie Gittens,19.0,Dortmund,de Bundesliga,"FW,MF",Defender,1776,8,3,11,3.6,2.5,42,0.65625
Martial Godo,21.0,Fulham,eng Premier League,"FW,DF",Finisher,24,0,0,0,0.0,0.1,3,0.0
Saba Goglichidze,20.0,Empoli,it Serie A,DF,Playmaker,2539,0,1,1,0.3,0.3,45,0.8787878787878788
Michael Golding,18.0,Leicester City,eng Premier League,MF,Finisher,1,0,0,0,0.0,0.0,0,0.0
Rodrigo Gomes,21.0,Wolves,eng Premier League,"DF,FW",Finisher,810,2,0,2,0.7,0.9,27,0.28
Carlos Gómez,21.0,Rennes,fr Ligue 1,"MF,DF",Finisher,381,3,0,3,1.3,0.2,9,0.11764705882352941
Diego Gómez,21.0,Brighton,eng Premier League,MF,Finisher,516,1,0,1,0.9,0.7,27,0.25
Unai Gómez,21.0,Athletic Club,es La Liga,"MF,FW",Playmaker,1284,1,3,4,1.9,0.8,23,0.4375
Tidiam Gomis,17.0,RB Leipzig,de Bundesliga,"MF,FW",Finisher,152,0,1,1,0.3,0.9,3,0.125
Lucas Gourna-Douath,20.0,Roma,it Serie A,MF,Finisher,229,0,0,0,0.1,0.1,9,0.3333333333333333
Archie Gray,18.0,Tottenham,eng Premier League,"DF,MF",Finisher,1751,0,0,0,0.0,0.1,40,0.6785714285714286
Brajan Gruda,20.0,Brighton,eng Premier League,"MF,FW",Finisher,687,1,4,5,1.2,2.1,26,0.38095238095238093
Axel Gueguin,19.0,Montpellier,fr Ligue 1,FW,Finisher,23,0,0,0,0.0,0.0,1,0.0
Javier Guerra,21.0,Valencia,es La Liga,MF,Playmaker,2581,3,3,6,2.2,3.2,137,0.8611111111111112
Luis Guilherme,18.0,West Ham,eng Premier League,"MF,FW",Finisher,150,0,0,0,0.4,0.1,5,0.08333333333333333
Carlos Guirao,21.0,Betis,es La Liga,MF,Finisher,110,0,0,0,0.0,0.0,2,1.0
Bahereba Guirassy,17.0,Nantes,fr Ligue 1,"FW,MF",Finisher,348,2,0,2,0.7,0.1,6,0.10526315789473684
Marc Guiu,18.0,Chelsea,eng Premier League,FW,Finisher,73,0,0,0,0.0,0.0,0,0.0
Arda Güler,19.0,Real Madrid,es La Liga,"MF,FW",Playmaker,1250,3,4,7,3.3,4.5,93,0.5
Malo Gusto,21.0,Chelsea,eng Premier League,DF,Playmaker,1862,0,1,1,1.7,1.4,119,0.59375
Saad El Haddad,19.0,Venezia,it Serie A,MF,Finisher,30,0,0,0,0.0,0.0,1,0.0
Mohamed Haj,19.0,Parma,it Serie A,MF,Finisher,453,1,2,3,0.6,1.2,13,0.2
Lewis Hall,19.0,Newcastle Utd,eng Premier League,DF,Playmaker,2189,0,4,4,0.4,4.3,123,0.8888888888888888
Ayden Heaven,17.0,Manchester Utd,eng Premier League,DF,Finisher,170,0,0,0,0.1,0.0,7,0.5
Paul Hennrich,19.0,Hoffenheim,de Bundesliga,MF,Finisher,12,0,0,0,0.0,0.0,0,0.0
Juan Herzog,21.0,Las Palmas,es La Liga,DF,Finisher,1315,0,0,0,0.9,0.0,27,0.7894736842105263
Omar El Hilali,20.0,Espanyol,es La Liga,DF,Playmaker,3153,0,2,2,0.0,0.8,84,1.0
Roger Hinojo,19.0,Espanyol,es La Liga,DF,Finisher,9,0,0,0,0.0,0.0,0,0.0
Jack Hinshelwood,19.0,Brighton,eng Premier League,"MF,DF",Playmaker,1842,5,2,7,2.7,1.5,68,0.8461538461538461
Ilyes Housni,19.0,Le Havre,fr Ligue 1,"FW,MF",Finisher,230,0,0,0,0.2,0.2,4,0.25
Harry Howell,15.0,Brighton,eng Premier League,FW,Finisher,7,0,0,0,0.0,0.0,0,0.0
Dean Huijsen,19.0,Bournemouth,eng Premier League,DF,Playmaker,2427,3,2,5,1.9,2.0,132,0.8125
Omari Hutchinson,20.0,Ipswich Town,eng Premier League,"MF,FW",Playmaker,2583,3,2,5,2.9,3.5,75,0.967741935483871
Oscar Højlund,19.0,Eint Frankfurt,de Bundesliga,MF,Finisher,722,1,0,1,1.0,1.1,49,0.35
Rasmus Højlund,21.0,Manchester Utd,eng Premier League,FW,Playmaker,2004,4,0,4,5.3,1.8,18,0.71875
Hafiz Ibrahim,18.0,Reims,fr Ligue 1,FW,Finisher,391,0,1,1,0.5,0.6,2,0.18181818181818182
Arijon Ibrahimović,18.0,Lazio,it Serie A,MF,Finisher,8,0,0,0,0.1,0.0,0,0.0
Arijon Ibrahimović,18.0,Bayern Munich,de Bundesliga,FW,Finisher,1,0,0,0,0.0,0.0,0,0.0
Stanis Idumbo,19.0,Sevilla,es La Liga,"FW,MF",Finisher,284,1,1,2,0.6,0.7,8,0.21428571428571427
George Ilenikhena,17.0,Monaco,fr Ligue 1,FW,Playmaker,717,3,2,5,5.1,1.4,10,0.2608695652173913
Rareş Ilie,21.0,Nice,fr Ligue 1,MF,Finisher,13,0,0,0,0.0,0.4,3,0.0
Samuel Iling-Junior,20.0,Bologna,it Serie A,"FW,MF",Finisher,118,1,0,1,0.1,0.1,7,0.0
Tim Iroegbunam,21.0,Everton,eng Premier League,MF,Finisher,574,0,1,1,0.2,0.2,15,0.2777777777777778
Yanis Issoufou,17.0,Montpellier,fr Ligue 1,"MF,FW",Finisher,77,0,0,0,0.1,0.0,2,0.25
Diego Iturralde,21.0,Sevilla,es La Liga,FW,Finisher,37,0,0,0,0.1,0.0,0,1.0
Fellipe Jack,18.0,Como,it Serie A,DF,Finisher,171,0,0,0,0.0,0.1,8,0.14285714285714285
Jérémy Jacquet,19.0,Rennes,fr Ligue 1,DF,Finisher,927,0,1,1,0.8,0.8,40,1.0
Jordan James,20.0,Rennes,fr Ligue 1,MF,Playmaker,1178,0,1,1,0.9,1.9,67,0.6086956521739131
Luca Jaquez,21.0,Stuttgart,de Bundesliga,DF,Finisher,253,0,0,0,0.2,0.0,18,0.4
Ali Jasim,20.0,Como,it Serie A,"FW,DF",Finisher,10,0,0,0,0.0,0.0,1,0.0
Mikel Jauregizar,20.0,Athletic Club,es La Liga,MF,Playmaker,2244,2,1,3,1.1,1.4,118,0.7352941176470589
Dominik Javorček,21.0,Holstein Kiel,de Bundesliga,"DF,MF",Finisher,386,0,2,2,0.0,1.0,4,0.3076923076923077
Daniel Jebbison,20.0,Bournemouth,eng Premier League,FW,Finisher,119,1,0,1,1.0,0.2,3,0.0
Finn Jeltsch,18.0,Stuttgart,de Bundesliga,DF,Finisher,780,0,0,0,0.1,0.1,31,0.75
Malcolm Jeng,19.0,Reims,fr Ligue 1,DF,Finisher,107,0,0,0,0.0,0.0,3,0.6666666666666666
Alejandro Jiménez,19.0,Milan,it Serie A,"DF,FW",Playmaker,1266,0,1,1,0.8,1.3,37,0.6363636363636364
Kim Jisoo,19.0,Brentford,eng Premier League,DF,Finisher,30,0,0,0,0.0,0.0,2,0.0
John Joe,20.0,Getafe,es La Liga,"MF,FW",Finisher,48,0,0,0,0.1,0.0,0,0.0
John Joe,20.0,Reims,fr Ligue 1,MF,Finisher,545,0,0,0,0.2,0.0,14,0.38461538461538464
Antoine Joujou,21.0,Le Havre,fr Ligue 1,"MF,FW",Finisher,943,0,2,2,0.6,3.0,18,0.34615384615384615
Yusuf Kabadayı,20.0,Augsburg,de Bundesliga,"FW,MF",Finisher,71,1,0,1,0.6,0.0,3,0.0
Almugera Kabar,18.0,Dortmund,de Bundesliga,DF,Finisher,137,0,0,0,0.0,0.5,6,0.2
Yaya Kader Fofana,20.0,Reims,fr Ligue 1,"MF,FW",Playmaker,634,1,1,2,0.6,1.7,22,0.6666666666666666
Justin-Noël Kalumba,19.0,Angers,fr Ligue 1,"FW,MF",Finisher,31,0,0,0,0.0,0.0,0,0.0
Noham Kamara,17.0,Paris S-G,fr Ligue 1,DF,Finisher,76,0,0,0,0.0,0.0,5,0.0
Willy Kambwala,19.0,Villarreal,es La Liga,DF,Finisher,1117,0,0,0,0.3,0.1,16,0.631578947368421
Lior Kasa,18.0,Genoa,it Serie A,"MF,FW",Finisher,230,0,0,0,1.1,0.1,7,0.25
Joachim Kayi Sanda,17.0,Southampton,eng Premier League,DF,Finisher,14,0,0,0,0.0,0.0,1,0.0
Michael Kayode,20.0,Brentford,eng Premier League,DF,Finisher,528,0,1,1,0.2,1.2,12,0.5
Michael Kayode,20.0,Fiorentina,it Serie A,"DF,FW",Finisher,127,0,0,0,0.1,0.2,8,0.2
Abdoulaye Keita,21.0,Getafe,es La Liga,"FW,MF",Finisher,95,0,0,0,0.0,0.0,2,0.3333333333333333
Andu Kelati,21.0,Holstein Kiel,de Bundesliga,"MF,DF",Finisher,288,1,1,2,0.9,0.8,19,0.25
Aljoscha Kemlein,19.0,Union Berlin,de Bundesliga,MF,Finisher,922,1,0,1,0.9,0.6,42,0.7333333333333333
Milos Kerkez,20.0,Bournemouth,eng Premier League,DF,Playmaker,3336,2,5,7,0.6,3.9,159,1.0
Bilal El Khannouss,20.0,Leicester City,eng Premier League,"MF,FW",Playmaker,2182,2,3,5,1.3,4.6,128,0.84375
Abdukodir Khusanov,20.0,Manchester City,eng Premier League,DF,Finisher,503,0,0,0,0.0,0.1,25,1.0
Abdukodir Khusanov,20.0,Lens,fr Ligue 1,DF,Finisher,975,0,0,0,0.2,0.3,43,0.8461538461538461
Joshua King,17.0,Fulham,eng Premier League,MF,Finisher,130,0,0,0,0.3,0.4,9,0.125
Antonín Kinský,21.0,Tottenham,eng Premier League,GK,Finisher,540,0,0,0,0.0,0.1,1,1.0
Mert Kömür,19.0,Augsburg,de Bundesliga,MF,Finisher,654,2,1,3,1.1,1.5,11,0.25
Ismael Konate,18.0,Empoli,it Serie A,"FW,MF",Finisher,116,0,1,1,0.2,0.0,2,0.0
Abdoul Koné,19.0,Reims,fr Ligue 1,DF,Finisher,133,0,0,0,0.0,0.0,3,0.25
