Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,starter_ratio
239,Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,21.0,2002.0,34,27,2181,24.2,14,10,24,14,0,0,2,0,13.4,13.4,10.1,23.5,137,96,374,0.58,0.41,0.99,0.58,0.99,0.55,0.42,0.97,0.55,0.97,0.7941176470588235
2780,Florian Wirtz,de GER,"MF,FW",Leverkusen,de Bundesliga,21.0,2003.0,31,25,2351,26.1,10,12,22,8,2,4,3,0,9.4,6.1,7.0,13.1,131,176,309,0.38,0.46,0.84,0.31,0.77,0.36,0.27,0.63,0.23,0.5,0.8064516129032258
2793,Lamine Yamal,es ESP,FW,Barcelona,es La Liga,17.0,2007.0,35,31,2856,31.7,9,13,22,9,0,0,3,0,9.8,9.8,13.9,23.8,181,160,433,0.28,0.41,0.69,0.28,0.69,0.31,0.44,0.75,0.31,0.75,0.8857142857142857
542,Rayan Cherki,fr FRA,"FW,MF",Lyon,fr Ligue 1,20.0,2003.0,30,22,2041,22.7,8,11,19,8,0,0,3,0,5.0,5.0,11.1,16.1,106,206,184,0.35,0.49,0.84,0.35,0.84,0.22,0.49,0.71,0.22,0.71,0.7333333333333333
2401,Benjamin Šeško,si SVN,"FW,MF",RB Leipzig,de Bundesliga,21.0,2003.0,33,30,2380,26.4,13,5,18,11,2,2,2,1,10.0,8.4,2.1,10.5,47,46,141,0.49,0.19,0.68,0.42,0.61,0.38,0.08,0.46,0.32,0.4,0.9090909090909091
840,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,21.0,2003.0,27,27,2293,25.5,14,3,17,14,0,0,5,0,17.0,17.0,2.4,19.4,37,14,104,0.55,0.12,0.67,0.55,0.67,0.67,0.1,0.76,0.67,0.76,1.0
289,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,21.0,2003.0,31,29,2488,27.6,9,8,17,8,1,2,5,1,11.4,9.9,3.9,13.7,74,199,143,0.33,0.29,0.61,0.29,0.58,0.41,0.14,0.55,0.36,0.5,0.9354838709677419
2429,Xavi Simons,nl NED,MF,RB Leipzig,de Bundesliga,21.0,2003.0,25,25,2150,23.9,10,6,16,10,0,0,5,0,5.1,5.1,6.3,11.4,85,140,185,0.42,0.25,0.67,0.42,0.67,0.21,0.26,0.48,0.21,0.48,1.0
2497,Lucas Stassin,be BEL,FW,Saint-Étienne,fr Ligue 1,19.0,2004.0,28,23,1887,21.0,12,4,16,12,0,0,4,0,7.0,7.0,3.4,10.4,26,35,149,0.57,0.19,0.76,0.57,0.76,0.35,0.17,0.53,0.35,0.52,0.8214285714285714
331,Mika Biereth,dk DEN,FW,Monaco,fr Ligue 1,21.0,2003.0,16,16,1228,13.6,13,2,15,12,1,2,0,0,11.3,9.7,4.5,14.2,14,24,110,0.95,0.15,1.1,0.88,1.03,0.83,0.33,1.16,0.71,1.04,1.0
252,Thierno Barry,fr FRA,FW,Villarreal,es La Liga,21.0,2002.0,35,25,2323,25.8,11,4,15,10,1,1,4,0,12.5,11.7,2.9,14.6,44,27,124,0.43,0.15,0.58,0.39,0.54,0.48,0.11,0.6,0.45,0.57,0.7142857142857143
214,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,21.0,2002.0,30,29,2497,27.7,6,8,14,6,0,0,4,0,4.7,4.7,6.6,11.3,107,129,249,0.22,0.29,0.5,0.22,0.5,0.17,0.24,0.41,0.17,0.41,0.9666666666666667
2057,Nicolás Paz,ar ARG,"MF,FW",Como,it Serie A,19.0,2004.0,35,30,2687,29.9,6,8,14,6,0,1,6,0,9.3,8.5,6.0,14.5,77,163,171,0.2,0.27,0.47,0.2,0.47,0.31,0.2,0.51,0.28,0.49,0.8571428571428571
1834,Jamal Musiala,de GER,MF,Bayern Munich,de Bundesliga,21.0,2003.0,25,21,1798,20.0,12,2,14,12,0,0,3,0,9.3,9.3,4.5,13.8,71,107,156,0.6,0.1,0.7,0.6,0.7,0.46,0.23,0.69,0.46,0.69,0.84
1873,Paul Nebel,de GER,MF,Mainz 05,de Bundesliga,21.0,2002.0,31,26,2345,26.1,10,4,14,10,0,0,5,1,5.8,5.8,4.1,9.8,67,91,219,0.38,0.15,0.54,0.38,0.54,0.22,0.16,0.38,0.22,0.38,0.8387096774193549
693,Liam Delap,eng ENG,FW,Ipswich Town,eng Premier League,21.0,2003.0,37,32,2593,28.8,12,2,14,10,2,2,11,0,9.3,7.8,1.9,9.7,61,30,110,0.42,0.07,0.49,0.35,0.42,0.32,0.07,0.39,0.27,0.34,0.8648648648648649
2347,Andrey Santos,br BRA,MF,Strasbourg,fr Ligue 1,20.0,2004.0,32,32,2855,31.7,10,3,13,10,0,0,8,0,5.1,5.1,3.3,8.4,29,149,26,0.32,0.09,0.41,0.32,0.41,0.16,0.1,0.27,0.16,0.27,1.0
276,Maximilian Beier,de GER,"FW,MF",Dortmund,de Bundesliga,21.0,2002.0,29,17,1591,17.7,8,5,13,8,0,0,2,0,7.7,7.7,3.3,11.0,24,33,124,0.45,0.28,0.74,0.45,0.74,0.44,0.19,0.62,0.44,0.62,0.5862068965517241
776,Désiré Doué,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,19.0,2005.0,31,18,1730,19.2,6,6,12,6,0,0,1,0,5.1,5.1,7.8,13.0,97,139,232,0.31,0.31,0.62,0.31,0.62,0.27,0.41,0.67,0.27,0.67,0.5806451612903226
510,Santiago Castro,ar ARG,FW,Bologna,it Serie A,19.0,2004.0,36,27,2294,25.5,8,4,12,8,0,1,7,0,7.7,6.9,2.9,9.8,17,39,136,0.31,0.16,0.47,0.31,0.47,0.3,0.11,0.41,0.27,0.38,0.75
2800,Kenan Yıldız,tr TUR,"FW,MF",Juventus,it Serie A,19.0,2005.0,35,28,2402,26.7,7,4,11,7,0,0,2,1,4.3,4.3,5.0,9.3,115,121,223,0.26,0.15,0.41,0.26,0.41,0.16,0.19,0.35,0.16,0.35,0.8
1520,Fermin López,es ESP,"MF,FW",Barcelona,es La Liga,21.0,2003.0,28,12,1252,13.9,6,5,11,6,0,0,4,1,5.6,5.6,3.9,9.5,31,79,108,0.43,0.36,0.79,0.43,0.79,0.41,0.28,0.69,0.41,0.69,0.42857142857142855
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2003.0,34,33,2768,30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.29,0.07,0.36,0.26,0.33,0.28,0.12,0.4,0.25,0.37,0.9705882352941176
1011,Jamie Gittens,eng ENG,"FW,MF",Dortmund,de Bundesliga,19.0,2004.0,32,21,1776,19.7,8,3,11,8,0,0,4,0,3.6,3.6,2.5,6.1,113,42,180,0.41,0.15,0.56,0.41,0.56,0.18,0.13,0.31,0.18,0.31,0.65625
1888,João Neves,pt POR,"MF,DF",Paris S-G,fr Ligue 1,19.0,2004.0,29,22,1844,20.5,3,8,11,3,0,0,1,0,3.0,3.0,4.0,7.0,35,144,80,0.15,0.39,0.54,0.15,0.54,0.15,0.2,0.34,0.15,0.34,0.7586206896551724
2126,Yeremi Pino,es ESP,"MF,FW",Villarreal,es La Liga,21.0,2002.0,34,25,1934,21.5,4,7,11,4,0,0,11,0,3.9,3.9,5.3,9.2,42,66,213,0.19,0.33,0.51,0.19,0.51,0.18,0.25,0.43,0.18,0.43,0.7352941176470589
363,Ange-Yoan Bonny,fr FRA,FW,Parma,it Serie A,20.0,2003.0,37,30,2529,28.1,6,4,10,4,2,3,2,0,9.4,7.1,2.9,9.9,41,53,163,0.21,0.14,0.36,0.14,0.28,0.34,0.1,0.44,0.25,0.35,0.8108108108108109
1757,Yankuba Minteh,gm GAM,"FW,MF",Brighton,eng Premier League,20.0,2004.0,32,20,1838,20.4,6,4,10,6,0,0,6,0,4.1,4.1,5.0,9.1,90,48,201,0.29,0.2,0.49,0.29,0.49,0.2,0.24,0.44,0.2,0.44,0.625
2481,Matìas Soulé,ar ARG,"MF,DF",Roma,it Serie A,21.0,2003.0,27,22,1781,19.8,5,5,10,5,0,0,3,0,3.0,3.0,5.2,8.3,84,89,191,0.25,0.25,0.51,0.25,0.51,0.15,0.26,0.42,0.15,0.42,0.8148148148148148
2643,Christantus Uche,ng NGA,"FW,MF",Getafe,es La Liga,21.0,2003.0,33,30,2486,27.6,4,6,10,4,0,0,8,2,3.8,3.8,2.9,6.7,43,49,148,0.14,0.22,0.36,0.14,0.36,0.14,0.1,0.24,0.14,0.24,0.9090909090909091
